ten_SanPham,giaTien,rating,comment,link_Phone
Samsung Galaxy S23 FE 5G 8GB/256GB,12890000,3.2,4,https://www.thegioididong.com/dtdd/samsung-galaxy-s23-fe-5g-256gb
vivo V29e 5G 12GB/256GB,9490000,3.9,18,https://www.thegioididong.com/dtdd/vivo-v29e-5g
vivo V30e 5G,10490000,4.2,4,https://www.thegioididong.com/dtdd/vivo-v30e-12gb
realme 12,7990000,3.6,5,https://www.thegioididong.com/dtdd/realme-12
OPPO A79 5G 8GB/256GB,7490000,3.6,28,https://www.thegioididong.com/dtdd/oppo-a79-5g
OPPO A78 8GB/256GB,6990000,3.9,109,https://www.thegioididong.com/dtdd/oppo-a78
HONOR X8b 8GB/512GB,6690000,4.4,37,https://www.thegioididong.com/dtdd/honor-x8b
OPPO A60,5490000,3.2,24,https://www.thegioididong.com/dtdd/oppo-a60-128gb
HONOR X7b 8GB/256GB,4790000,4.6,8,https://www.thegioididong.com/dtdd/honor-x7b
OPPO A58,5490000,3.7,80,https://www.thegioididong.com/dtdd/oppo-a58-4g
realme C65s,4790000,3.6,5,https://www.thegioididong.com/dtdd/realme-c65s-8gb-128gb
Xiaomi POCO M6 6GB/128GB,3890000,3.0,8,https://www.thegioididong.com/dtdd/xiaomi-poco-m6
TCL 40 NXTPAPER 8GB/256GB,3840000,3.4,5,https://www.thegioididong.com/dtdd/tcl-40-nxtpaper
realme C60 4GB/64GB,2790000,4.3,3,https://www.thegioididong.com/dtdd/realme-c60
TCL 505 4GB/128GB,2590000,3.8,6,https://www.thegioididong.com/dtdd/tcl-505
HONOR X5 Plus 4GB/64GB,2490000,3.8,8,https://www.thegioididong.com/dtdd/honor-x5-plus
TCL 406s 4GB/64GB,2090000,4.2,8,https://www.thegioididong.com/dtdd/tcl-406s
Tecno Spark Go 2024 3GB/64GB,1890000,4.1,26,https://www.thegioididong.com/dtdd/tecno-spark-go-2024
Nokia 105,820000,3.5,358,https://www.thegioididong.com/dtdd/nokia-105-4g
Mobell Rock 4 4G,790000,4.0,101,https://www.thegioididong.com/dtdd/mobell-rock-4
Mobell F309 4G,760000,4.4,60,https://www.thegioididong.com/dtdd/mobell-f309
Mobell M539 4G,700000,4.0,103,https://www.thegioididong.com/dtdd/mobell-m539
Masstel Fami 60S 4G,700000,3.4,7,https://www.thegioididong.com/dtdd/masstel-fami-60s
Nokia 105 4G Pro,680000,3.6,37,https://www.thegioididong.com/dtdd/nokia-105-4g-pro
Mobell F209 4G,620000,3.8,47,https://www.thegioididong.com/dtdd/mobell-f209
Mobell M331 4G,550000,3.7,27,https://www.thegioididong.com/dtdd/mobell-m331
Mobell M239,500000,3.9,168,https://www.thegioididong.com/dtdd/mobell-m239
Itel it8010,390000,3.2,4,https://www.thegioididong.com/dtdd/itel-it8010
